Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
143,658,Coro and its Port,Venezuela (Bolivarian Republic of),,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
144,885,Historic Centre of Shakhrisyabz,Uzbekistan,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
145,603,Samarkand – Crossroad of Cultures,Uzbekistan,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
146,890,Historic Centre of the Town of Diamantina,Brazil,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
147,370,Durham Castle and Cathedral,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1573,"Royal Building of <i>Mafra</i> – Palace, Basilica, Convent, <i>Cerco</i> Garden and Hunting Park (<i>Tapada</i>)",Portugal,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
149,862,Historic Monuments Zone of Tlacotalpan,Mexico,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
150,378,Mudejar Architecture of Aragon,Spain,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1720,The Historic Town and Archaeological Site of Gedi,Kenya,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
152,852,Historic Centre of Riga,Latvia,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
153,522,Renaissance Monumental Ensembles of Úbeda and Baeza,Spain,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
154,89,Historic Cairo,Egypt,,,,(i)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
155,518,Poblet Monastery,Spain,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
156,859,Holy Trinity Column in Olomouc,Czechia,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
157,860,Gardens and Castle at Kroměříž,Czechia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
158,321,Historic Mosque City of Bagerhat,Bangladesh,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1463,Aqueduct of Padre Tembleque Hydraulic System,Mexico,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
160,621,Historic Centre of Telč,Czechia,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
162,351,Painted Churches in the Troodos Region,Cyprus,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1270,Historic Centre of Camagüey,Cuba,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
164,331,Medina of Marrakesh,Morocco,,,,(i)(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
165,818,Mill Network at Kinderdijk-Elshout,Netherlands (Kingdom of the),,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
166,724,Medieval Monuments in Kosovo,Serbia,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
167,625,Mir Castle Complex,Belarus,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1025,"Villa d'Este, Tivoli",Italy,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
169,81,Chartres Cathedral,France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
170,963,The Cathedral of St James in Šibenik,Croatia,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
171,611,Historic Town of Zabid,Yemen,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
