id,name,category,region,latitude,longitude,is_endangered,is_transnational,iso_code,date_inscribed
354,Waterton Glacier International Peace Park,Natural,,,,0,1,"ca,us",1995
1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,Cultural,,,,0,1,"cn,kg,kz",2014
205,Talamanca Range-La Amistad Reserves / La Amistad National Park,Natural,,,,0,1,"cr,pa",1983
155,Mount Nimba Strict Nature Reserve,Natural,,,,1,1,"ci,gn",1981
1533,Venetian Works of Defence between the 16th and 17th Centuries: <em>Stato da Terra</em> – Western <em>Stato da Mar</em>,Cultural,,,,0,1,"hr,it,me",2017
1478,Erzgebirge/Krušnohoří Mining Region,Cultural,,,,0,1,"cz,de",2019
1314,Wadden Sea,Natural,,,,0,1,"de,dk,nl",2009
1468,Moravian Church Settlements,Cultural,,,,0,1,"de,dk,gb,us",2015
898,High Coast / Kvarken Archipelago,Natural,,,,0,1,"fi,se",2000
773,Pyrénées - Mont Perdu,Mixed,,,,0,1,"es,fr",1997
1226,Stone Circles of Senegambia,Cultural,,,,0,1,"gm,sn",2006
1631,Frontiers of the Roman Empire – The Lower German Limes,Cultural,,,,0,1,"de,nl",2021
1127,Muskauer Park / Park Mużakowski,Cultural,,,,0,1,"de,pl",2004
430,Frontiers of the Roman Empire,Cultural,,,,0,1,"de,gb",1987
91,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",Cultural,,,,0,1,"it,va",1980
725,Caves of Aggtelek Karst and Slovak Karst,Natural,,,,0,1,"hu,sk",1995
1276,Rhaetian Railway in the Albula / Bernina Landscapes,Cultural,,,,0,1,"ch,it",2008
1090,Monte San Giorgio,Natural,,,,0,1,"ch,it",2003
1490,Western Tien-Shan,Natural,,,,0,1,"kg,kz,uz",2016
1693,Cold Winter Deserts of Turan,Natural,,,,0,1,"kz,tm,uz",2023
951,Phong Nha-Ke Bang National Park and Hin Nam No National Park,Natural,,,,0,1,"la,vn",2003
985,Maloti-Drakensberg Park,Mixed,,,,0,1,"ls,za",2000
994,Curonian Spit,Cultural,,,,0,1,"lt,ru",2000
769,Uvs Nuur Basin,Natural,,,,0,1,"mn,ru",2003
1448,Landscapes of Dauria,Natural,,,,0,1,"mn,ru",2017
914,iSimangaliso Wetland Park – Maputo National Park,Natural,,,,0,1,"mz,za",1999
1424,Wooden <em>Tserkvas</em> of the Carpathian Region in Poland and Ukraine,Cultural,,,,0,1,"pl,ua",2013
866,Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,Cultural,,,,0,1,"es,pt",1998
1313,Heritage of Mercury. Almadén and Idrija,Cultural,,,,0,1,"es,si",2012
1675,Silk Roads: Zarafshan-Karakum Corridor,Cultural,,,,0,1,"tj,tm,uz",2023
509,Mosi-oa-Tunya / Victoria Falls,Natural,,,,0,1,"zm,zw",1989
